YEAR_MONTH_PROJECT_KEY,HIGH_LEVEL_STATUS_KPI_ID,PPN_STAMP,PPN_PROC
202601_2026-00078,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00077,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00076,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00075,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00074,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00073,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00072,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00071,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00070,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00069,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00068,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00066,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00065,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00064,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00062,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00061,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00059,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00058,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00056,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00055,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00054,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00053,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00052,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00051,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00050,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00049,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00048,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00047,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00046,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00107,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00106,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00105,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00104,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00103,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00101,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00100,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00099,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00098,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00097,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00096,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00095,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00094,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00093,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00092,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00091,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00090,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00089,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00088,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00087,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00086,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00085,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00084,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00083,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00082,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00081,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00080,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00079,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
202601_2026-00135,19,2026-03-30 00:57:05.508239,NB_SILVER_TO_GOLD_HIGH_LEVEL_STATUS_KPI
